Species,BBW,BBZ,BLG,HH,HZ,JJ,JL,LCG,LH,LHH,LHK,MJ,NL,NL2,NL6,NL7,OJ,SY,SYC,WSK,YR,YRS,ZJ,ZJJ
s__Altererythrobacter_atlanticus,1254,446,1094,774,3208,12186,950,1634,734,382,418,1294,894,1676,990,1318,1926,1508,12082,548,700,656,3028,774
s__Shewanella_sediminis,950,1256,708,6292,3426,916,1564,3190,7012,1332,614,1752,552,634,1034,1208,2720,2528,1754,348,3306,5182,1062,1082
s__Labrenzia_sp._OB1,2914,2322,614,3624,3300,3382,1028,2898,3210,1426,320,2060,1390,726,2166,2858,2476,2200,1850,336,3412,3362,1282,1262
s__Thalassobius_gelatinovorus,2208,2100,348,6254,1982,1338,764,1790,4150,2352,108,2136,818,490,1606,1966,1640,3746,1324,170,5874,4362,1576,1294
s__Ferrimonas_futtsuensis,744,1508,950,5706,4554,720,1610,4510,5178,1222,376,1892,428,282,900,784,3628,2878,2560,392,2566,5120,828,1012
s__Roseivivax_isoporae,2880,1782,504,4514,2036,1860,814,1918,3506,2472,178,1780,1170,438,1716,2978,1718,1922,2596,222,6254,4162,1626,1284
s__Pseudomonas_alcaligenes,1102,708,2840,3338,3736,3442,1312,2962,3592,1372,3214,2316,800,738,1346,1330,2604,2102,2256,2100,1804,2994,1042,1240
s__Actibacterium_atlanticum,2312,1960,452,7092,1784,526,780,1518,4048,2132,166,2062,854,210,1496,1814,1468,3186,1820,156,6802,4878,1492,1176
s__Thalassomonas_actiniarum,846,1074,798,5218,3970,2704,1902,3678,5334,1520,228,1910,420,382,908,1052,3330,2808,2738,254,2736,4766,778,792
s__SAR324_cluster_bacterium_SCGC_AAA240-J09,1036,1328,1234,2510,6562,7166,1456,4108,2550,1098,386,2018,652,700,1122,1280,3450,2190,1670,758,2232,2664,924,1004
s__Hoeflea_sp._BAL378,3810,3920,630,3066,2090,1950,890,1928,2628,1808,440,1646,1956,1142,2922,4188,1638,1898,1656,430,3244,2842,1824,1550
s__Spongiibacter_marinus,1146,986,2132,5212,4956,510,1474,3752,4164,1642,1032,1964,646,476,1436,1376,3258,2430,2098,1106,2348,3442,1060,1446
s__Hydrogenophaga_sp._T4,536,100,4412,712,1450,632,578,2032,972,744,3302,2004,888,738,1294,778,1158,18150,462,3936,712,546,2200,1588
s__Roseibium_sp._TrichSKD4,3576,2994,676,3178,2686,2096,1192,2484,3166,1466,232,1962,1732,792,2610,3070,2332,2152,1372,360,3694,3336,1234,1518
s__Pseudorhodobacter_psychrotolerans,2810,958,4846,2840,1248,1118,462,1436,1886,1952,2896,1906,1342,552,1954,2148,1074,5706,830,1232,2496,1406,4492,2298
s__Cupriavidus_gilardii,1220,256,5556,810,3470,1136,952,4612,1200,442,4740,2852,1838,1450,1520,1952,2222,1600,734,4450,912,832,2472,2620
s__Roseibacterium_elongatum,3394,2196,400,5224,1616,318,822,1378,3594,3016,184,1870,992,274,1448,2506,1504,1798,2262,182,7802,4214,1684,1140
s__Geobacter_sp._M21,544,524,3524,2222,3270,6756,700,3338,1826,1506,2632,1900,1262,3294,1238,1162,2096,2220,1926,2034,1204,1738,1070,1768
s__Dactylosporangium_aurantiacum,3706,1564,1562,1726,2364,3176,560,2612,1354,1762,640,1972,2306,2654,3072,3994,2092,1688,2468,666,2274,1542,2940,1058
s__Verrucomicrobium_spinosum,880,466,9484,2158,3592,2684,522,2902,1552,998,2834,1650,1042,1500,1004,1436,2160,2210,1400,3340,2200,1234,1038,1416
s__Comamonadaceae_bacterium_URHA0028,1066,256,5214,902,2932,3838,728,3040,1190,778,4136,2794,1710,1550,1742,1928,2152,1426,1038,4924,904,666,2282,2494
s__Patulibacter_americanus,3216,2926,1524,858,2756,622,290,2258,756,594,422,1736,3022,5810,3650,6426,2302,1080,1180,630,1354,798,4022,1444
s__Rhodocyclaceae_bacterium_PG1-Ca6,760,292,9036,1284,3140,1798,524,3268,1538,1182,4440,1596,1800,2132,1106,1318,1636,1556,778,4852,1326,1032,1310,1932
s__Loktanella_vestfoldensis,2736,1822,814,4480,1334,348,802,3772,4640,3016,188,1434,1026,302,1636,2056,1322,4226,1360,162,6064,2746,1758,1590
s__Nocardioides_sp._Soil777,3918,1256,1116,1280,1206,332,568,1144,874,2822,948,3920,2544,1226,2284,5106,862,924,9686,752,974,1000,4088,764
s__Leptolyngbya_sp._Heron_Island_J,1652,1134,1196,2656,3540,9290,1134,2796,1876,2308,1012,1808,860,1100,1546,1800,2934,2044,2278,440,1506,2866,874,928
s__Phenylobacterium_sp._Root700,1398,788,2918,2436,4732,1130,1128,3212,2958,772,2306,2762,1322,1524,1540,2392,3296,1802,1634,2778,1530,1966,1830,1420
s__Methylomicrobium_alcaliphilum,784,1100,1424,4196,4640,2980,1920,3400,3432,2212,834,2052,672,1050,1140,1354,3226,2696,2020,1306,1974,3292,786,1040
s__Acidimicrobium_sp._BACL27_MAG-120823-bin4,3422,1928,2468,1410,3408,176,686,4858,1368,1350,358,2776,1642,956,2408,4134,2998,2464,1852,472,2808,1830,2754,972
s__Thiothrix_disciformis,1134,874,1080,4344,4208,3110,1846,3466,4544,1392,686,2504,708,546,1152,1188,3056,2632,1810,826,2348,3868,1038,1084
s__Bordetella_bronchiseptica,1036,582,4196,1040,4116,4902,836,2976,1390,714,4008,2156,1540,1506,1536,1954,2120,1478,1010,4418,1048,866,1738,2260
s__Thauera_terpenica,1302,576,5050,1126,4166,1136,802,3378,1226,5460,2654,3090,1464,1590,1374,1620,2208,1614,1066,3084,914,1180,1590,1728
s__Pseudorhodobacter_wandonensis,2388,830,1142,3592,1784,1098,594,1718,2704,1688,410,1822,1016,390,1726,1902,1212,12234,1052,256,3400,2124,2638,1616
s__Draconibacterium_orientale,774,686,1388,5524,1066,2544,776,3018,2740,6466,1962,2332,384,806,920,654,812,3174,7948,590,1444,1712,440,1170
s__Blastococcus_saxobsidens,3280,1528,1196,1402,3914,3216,494,3638,1308,2452,256,3030,1486,894,2608,3468,2860,1872,2988,404,2100,1650,2470,798
s__Acidimicrobium_sp._BACL17_MAG-120924-bin0,3750,1862,2334,1584,2600,132,670,4242,1502,1522,372,2370,1868,966,2408,4548,2350,2086,1854,542,3496,2196,2922,1032
s__Pseudomonas_thermotolerans,798,680,2132,3790,5028,2968,1348,3586,3714,766,2196,2780,686,772,1168,1168,3304,2304,1760,1098,1956,2618,1186,1264
